timestep,learner_elo,opponent,opponent_elo,wins,draws,losses
440000,1686.2757909268416,PPO_300000,1414.528750525628,98,0,2
440000,1686.2757909268416,MiniMax2,1722.0061932573578,44,0,56
440000,1686.2757909268416,MiniMax4,1767.041723149524,47,0,53
450000,1743.365085269101,MiniMax2,1731.3623956932424,51,0,49
450000,1743.365085269101,Tactical,1548.0744706046946,56,0,44
450000,1743.365085269101,MiniMax4,1746.4179843603379,48,0,52
450000,1743.365085269101,PPO_250000,1408.5533071259144,100,0,0
460000,1720.0740443515747,PPO_450000,1720.0740443515747,50,0,50
460000,1720.0740443515747,Tactical,1625.456489232266,71,0,29
460000,1720.0740443515747,MiniMax2,1737.7076227130287,58,0,42
460000,1720.0740443515747,MiniMax4,1755.5920088667729,49,0,51
470000,1776.940473199069,MiniMax4,1745.8622577617746,48,0,52
470000,1776.940473199069,PPO_450000,1721.9003155217545,48,0,52
470000,1776.940473199069,MiniMax2,1706.7431189709891,78,0,22
470000,1776.940473199069,Tactical,1607.4580440616298,66,0,34
480000,1748.9353742475366,MiniMax2,1648.1751313421166,88,0,12
480000,1748.9353742475366,Tactical,1635.8990961790817,56,0,44
480000,1748.9353742475366,PPO_450000,1753.8562871269794,95,0,5
480000,1748.9353742475366,MiniMax4,1772.0383206195027,50,0,50
490000,1972.931764609225,MiniMax4,1763.4384273354146,44,0,56
490000,1972.931764609225,Tactical,1668.834042507702,53,0,47
490000,1972.931764609225,PPO_450000,1593.2816966221337,99,0,1
490000,1972.931764609225,MiniMax2,1560.4182784407417,87,0,13
500000,1754.6328469094997,MiniMax2,1586.104231645962,91,0,9
500000,1754.6328469094997,PPO_450000,1539.3407274542724,98,0,2
500000,1754.6328469094997,Tactical,1800.334650573519,54,0,46
500000,1754.6328469094997,MiniMax4,1878.491752931964,48,0,52
510000,2005.234292297637,PPO_500000,2005.234292297637,89,0,11
510000,2005.234292297637,MiniMax4,1834.0129786432242,50,0,50
510000,2005.234292297637,Tactical,1767.8228102307223,42,1,57
510000,2005.234292297637,MiniMax2,1506.5142002897805,87,0,13
520000,1882.7800276699593,PPO_500000,1876.8353411770408,96,0,4
520000,1882.7800276699593,MiniMax2,1549.441042945964,95,0,5
520000,1882.7800276699593,Tactical,1897.0232719489504,52,0,48
520000,1882.7800276699593,MiniMax4,1912.7388900170865,47,0,53
530000,2081.3448823204653,Tactical,1908.247034433194,54,0,46
530000,2081.3448823204653,MiniMax4,1906.148560597366,48,0,52
530000,2081.3448823204653,PPO_500000,1711.1235958128575,94,0,6
530000,2081.3448823204653,MiniMax2,1511.9545005951184,95,0,5
540000,1935.79388779928,PPO_500000,1686.4428642227178,95,0,5
540000,1935.79388779928,MiniMax2,1520.123986948406,98,0,2
540000,1935.79388779928,Tactical,1981.8220863815814,62,0,38
540000,1935.79388779928,MiniMax4,1994.635748407016,47,0,53
550000,2118.704502919737,MiniMax4,1980.2365605953464,50,0,50
550000,2118.704502919737,Tactical,1924.0554230688183,64,0,36
550000,2118.704502919737,PPO_500000,1612.8072473509783,99,0,1
550000,2118.704502919737,MiniMax2,1483.014839824121,97,0,3
560000,2041.8774482847648,PPO_550000,2041.8774482847648,86,0,14
560000,2041.8774482847648,Tactical,1961.6268349893282,55,0,45
560000,2041.8774482847648,MiniMax4,2044.3545504210056,48,0,52
560000,2041.8774482847648,PPO_500000,1584.310017489002,100,0,0
570000,2191.081793592408,MiniMax4,2048.1900506532997,49,0,51
570000,2191.081793592408,Tactical,1972.5582645711506,55,0,45
570000,2191.081793592408,PPO_550000,1920.225561579352,98,0,2
570000,2191.081793592408,PPO_500000,1541.9906290726549,100,0,0
580000,2131.39222756732,MiniMax4,2116.239329173023,47,0,53
580000,2131.39222756732,Tactical,2058.0697820534024,48,0,52
580000,2131.39222756732,PPO_550000,1843.278309171757,97,0,3
580000,2131.39222756732,PPO_500000,1525.0666515033627,99,0,1
590000,2150.470485738653,MiniMax4,2136.7805103727605,50,0,50
590000,2150.470485738653,Tactical,2099.0624035487526,56,0,44
590000,2150.470485738653,PPO_550000,1776.0025473566775,100,0,0
